podman,4.9.0 1,https://codeberg.org/XDream8/kiss-repo.git,bin/podman,main,"XDream8"
cargo-crev,0.23.3 1,https://codeberg.org/XDream8/kiss-repo.git,bin/cargo-crev,main,"XDream8"
rust-analyzer,2023-08-14 1,https://codeberg.org/XDream8/kiss-repo.git,bin/rust-analyzer,main,"XDream8"
hyperfine,1.18.0 1,https://codeberg.org/XDream8/kiss-repo.git,bin/hyperfine,main,"XDream8"
openjdk8-jdk,8u362-b09 1,https://codeberg.org/XDream8/kiss-repo.git,bin/openjdk8-jdk,main,"XDream8"
rustup,1.26.0 1,https://codeberg.org/XDream8/kiss-repo.git,bin/rustup,main,"XDream8"
openjdk17-jdk,17.0.9+9 7,https://codeberg.org/XDream8/kiss-repo.git,bin/openjdk17-jdk,main,"XDream8"
nodejs,21.1.0 1,https://codeberg.org/XDream8/kiss-repo.git,bin/nodejs,main,"XDream8"
openjdk11-jdk,11.0.22 7,https://codeberg.org/XDream8/kiss-repo.git,bin/openjdk11-jdk,main,"XDream8"
intel-ucode,20230613 1,https://codeberg.org/XDream8/kiss-repo.git,bin/intel-ucode,main,"XDream8"
zig,0.13.0 1,https://codeberg.org/XDream8/kiss-repo.git,bin/zig,main,"XDream8"
gradle,8.10 1,https://codeberg.org/XDream8/kiss-repo.git,bin/gradle,main,"XDream8"
sbase,git 2,https://codeberg.org/XDream8/kiss-repo.git,suckless-core/sbase,main,"XDream8"
ubase,git 4,https://codeberg.org/XDream8/kiss-repo.git,suckless-core/ubase,main,"XDream8"
syslinux,6.04-pre1 1,https://codeberg.org/XDream8/kiss-repo.git,core/syslinux,main,"XDream8"
baseinit,1.0.3 1,https://codeberg.org/XDream8/kiss-repo.git,core/baseinit,main,"XDream8"
util-linux,2.40.2 1,https://codeberg.org/XDream8/kiss-repo.git,core/util-linux,main,"XDream8"
f2fs-tools,1.16.0 1,https://codeberg.org/XDream8/kiss-repo.git,core/f2fs-tools,main,"XDream8"
mdevd,0.1.6.2 1,https://codeberg.org/XDream8/kiss-repo.git,core/mdevd,main,"XDream8"
rsv,git 1,https://codeberg.org/XDream8/kiss-repo.git,core/rsv,main,"XDream8"
yash,2.56.1 1,https://codeberg.org/XDream8/kiss-repo.git,core/yash,main,"XDream8"
rinit,0.1.1 1,https://codeberg.org/XDream8/kiss-repo.git,core/rinit,main,"XDream8"
oksh,7.3 1,https://codeberg.org/XDream8/kiss-repo.git,core/oksh,main,"XDream8"
mawk,1.3.4-20230808 1,https://codeberg.org/XDream8/kiss-repo.git,core/mawk,main,"XDream8"
otools,1.5.1 1,https://codeberg.org/XDream8/kiss-repo.git,core/otools,main,"XDream8"
toybox,git 1,https://codeberg.org/XDream8/kiss-repo.git,core/toybox,main,"XDream8"
kmod,30 1,https://codeberg.org/XDream8/kiss-repo.git,core/kmod,main,"XDream8"
less,633 1,https://codeberg.org/XDream8/kiss-repo.git,core/less,main,"XDream8"
gnugrep,3.11 1,https://codeberg.org/XDream8/kiss-repo.git,core/gnugrep,main,"XDream8"
bat,0.24.0 1,https://codeberg.org/XDream8/kiss-repo.git,core/bat,main,"XDream8"
netbsd-curses,0.3.2 1,https://codeberg.org/XDream8/kiss-repo.git,core/netbsd-curses,main,"XDream8"
repomenu,2022.07.31 1,https://codeberg.org/XDream8/kiss-repo.git,xorg-apps/repomenu,main,"XDream8"
flatpak,1.14.5 1,https://codeberg.org/XDream8/kiss-repo.git,testing/flatpak,main,"XDream8"
clang,18.1.3 1,https://codeberg.org/XDream8/kiss-repo.git,testing/clang,main,"XDream8"
tomlplusplus,3.4.0 1,https://codeberg.org/XDream8/kiss-repo.git,testing/tomlplusplus,main,"XDream8"
tree-sitter,0.22.6 1,https://codeberg.org/XDream8/kiss-repo.git,testing/tree-sitter,main,"XDream8"
pipewire,1.0.0+0.4.16 1,https://codeberg.org/XDream8/kiss-repo.git,testing/pipewire,main,"XDream8"
libjansson,2.14 1,https://codeberg.org/XDream8/kiss-repo.git,testing/libjansson,main,"XDream8"
readline,8.2p007 1,https://codeberg.org/XDream8/kiss-repo.git,testing/readline,main,"XDream8"
cproc,git 1,https://codeberg.org/XDream8/kiss-repo.git,testing/cproc,main,"XDream8"
kiss-rs,git 1,https://codeberg.org/XDream8/kiss-repo.git,testing/kiss-rs,main,"XDream8"
linux-firmware,20240709 1,https://codeberg.org/XDream8/kiss-repo.git,testing/linux-firmware,main,"XDream8"
emacs,29.4 1,https://codeberg.org/XDream8/kiss-repo.git,testing/emacs,main,"XDream8"
android-tools,34.0.4 1,https://codeberg.org/XDream8/kiss-repo.git,testing/android-tools,main,"XDream8"
p7zip,17.05 1,https://codeberg.org/XDream8/kiss-repo.git,testing/p7zip,main,"XDream8"
wayherb,git 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/wayherb,main,"XDream8"
dwl,9825c26cdd5dfed34022b77a8936c5d8f485e134 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/dwl,main,"XDream8"
foot,1.17.2 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/foot,main,"XDream8"
mesa,24.1.4 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/mesa,main,"XDream8"
sway,1.9 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/sway,main,"XDream8"
swaylock-effects,1.6.4 1,https://codeberg.org/XDream8/kiss-repo.git,wayland/swaylock-effects,main,"XDream8"
